Execution;micro second;quant
1;710;1.0
1;716;1.0
1;717;1.0
1;724;1.0
1;726;2.0
1;727;1.0
1;729;1.0
1;730;3.0
1;732;3.0
1;733;3.0
1;734;2.0
1;735;2.0
1;736;1.0
1;737;6.0
1;738;3.0
1;739;5.0
1;740;6.0
1;741;3.0
1;742;9.0
1;743;4.0
1;744;12.0
1;745;11.0
1;746;9.0
1;747;9.0
1;748;6.0
1;749;5.0
1;750;11.0
1;751;10.0
1;752;8.0
1;753;13.0
1;754;17.0
1;755;5.0
1;756;7.0
1;757;14.0
1;758;15.0
1;759;10.0
1;760;19.0
1;761;14.0
1;762;23.0
1;763;15.0
1;764;18.0
1;765;16.0
1;766;23.0
1;767;24.0
1;768;30.0
1;769;21.0
1;770;20.0
1;771;29.0
1;772;12.0
1;773;21.0
1;774;23.0
1;775;27.0
1;776;22.0
1;777;23.0
1;778;26.0
1;779;23.0
1;780;24.0
1;781;21.0
1;782;23.0
1;783;18.0
1;784;30.0
1;785;27.0
1;786;23.0
1;787;23.0
1;788;27.0
1;789;28.0
1;790;26.0
1;791;32.0
1;792;32.0
1;793;32.0
1;794;36.0
1;795;41.0
1;796;27.0
1;797;34.0
1;798;50.0
1;799;37.0
1;800;28.0
1;801;34.0
1;802;48.0
1;803;35.0
1;804;47.0
1;805;40.0
1;806;41.0
1;807;44.0
1;808;43.0
1;809;48.0
1;810;50.0
1;811;48.0
1;812;40.0
1;813;55.0
1;814;57.0
1;815;63.0
1;816;57.0
1;817;49.0
1;818;56.0
1;819;52.0
1;820;61.0
1;821;55.0
1;822;59.0
1;823;56.0
1;824;46.0
1;825;74.0
1;826;71.0
1;827;73.0
1;828;77.0
1;829;70.0
1;830;77.0
1;831;82.0
1;832;69.0
1;833;78.0
1;834;48.0
1;835;81.0
1;836;79.0
1;837;70.0
1;838;75.0
1;839;83.0
1;840;95.0
1;841;85.0
1;842;68.0
1;843;105.0
1;844;105.0
1;845;108.0
1;846;101.0
1;847;131.0
1;848;116.0
1;849;103.0
1;850;119.0
1;851;108.0
1;852;139.0
1;853;116.0
1;854;100.0
1;855;125.0
1;856;136.0
1;857;130.0
1;858;123.0
1;859;141.0
1;860;142.0
1;861;133.0
1;862;145.0
1;863;132.0
1;864;165.0
1;865;142.0
1;866;163.0
1;867;156.0
1;868;143.0
1;869;141.0
1;870;153.0
1;871;162.0
1;872;167.0
1;873;161.0
1;874;168.0
1;875;176.0
1;876;197.0
1;877;180.0
1;878;166.0
1;879;184.0
1;880;196.0
1;881;194.0
1;882;190.0
1;883;188.0
1;884;188.0
1;885;176.0
1;886;216.0
1;887;201.0
1;888;188.0
1;889;207.0
1;890;168.0
1;891;219.0
1;892;205.0
1;893;223.0
1;894;220.0
1;895;240.0
1;896;217.0
1;897;215.0
1;898;209.0
1;899;226.0
1;900;233.0
1;901;230.0
1;902;217.0
1;903;252.0
1;904;278.0
1;905;232.0
1;906;249.0
1;907;253.0
1;908;261.0
1;909;214.0
1;910;239.0
1;911;250.0
1;912;259.0
1;913;248.0
1;914;253.0
1;915;240.0
1;916;266.0
1;917;269.0
1;918;273.0
1;919;247.0
1;920;242.0
1;921;264.0
1;922;262.0
1;923;266.0
1;924;246.0
1;925;276.0
1;926;248.0
1;927;246.0
1;928;208.0
1;929;213.0
1;930;246.0
1;931;263.0
1;932;218.0
1;933;304.0
1;934;216.0
1;935;244.0
