Execution;micro second;quant
1;399;1.0
1;408;1.0
1;410;1.0
1;412;2.0
1;413;1.0
1;414;2.0
1;415;4.0
1;416;3.0
1;418;2.0
1;419;2.0
1;420;2.0
1;421;3.0
1;422;1.0
1;423;5.0
1;424;2.0
1;425;1.0
1;426;5.0
1;428;2.0
1;429;3.0
1;430;5.0
1;431;3.0
1;432;10.0
1;433;4.0
1;434;2.0
1;435;7.0
1;436;7.0
1;437;7.0
1;438;12.0
1;439;14.0
1;440;5.0
1;441;10.0
1;442;6.0
1;443;4.0
1;444;7.0
1;445;8.0
1;446;6.0
1;447;5.0
1;448;10.0
1;449;12.0
1;450;5.0
1;451;10.0
1;452;9.0
1;453;9.0
1;454;8.0
1;455;10.0
1;456;7.0
1;457;16.0
1;458;11.0
1;459;14.0
1;460;11.0
1;461;7.0
1;462;11.0
1;463;10.0
1;464;12.0
1;465;16.0
1;466;11.0
1;467;12.0
1;468;13.0
1;469;15.0
1;470;15.0
1;471;12.0
1;472;17.0
1;473;18.0
1;474;15.0
1;475;17.0
1;476;20.0
1;477;15.0
1;478;15.0
1;479;14.0
1;480;17.0
1;481;22.0
1;482;28.0
1;483;14.0
1;484;24.0
1;485;31.0
1;486;24.0
1;487;20.0
1;488;28.0
1;489;26.0
1;490;30.0
1;491;33.0
1;492;27.0
1;493;27.0
1;494;35.0
1;495;32.0
1;496;56.0
1;497;39.0
1;498;42.0
1;499;41.0
1;500;56.0
1;501;58.0
1;502;46.0
1;503;58.0
1;504;61.0
1;505;63.0
1;506;49.0
1;507;66.0
1;508;62.0
1;509;74.0
1;510;64.0
1;511;68.0
1;512;80.0
1;513;61.0
1;514;98.0
1;515;100.0
1;516;71.0
1;517;87.0
1;518;97.0
1;519;120.0
1;520;88.0
1;521;84.0
1;522;102.0
1;523;105.0
1;524;118.0
1;525;118.0
1;526;115.0
1;527;99.0
1;528;128.0
1;529;103.0
1;530;126.0
1;531;110.0
1;532;117.0
1;533;102.0
1;534;111.0
1;535;117.0
1;536;97.0
1;537;132.0
1;538;123.0
1;539;131.0
1;540;130.0
1;541;118.0
1;542;117.0
1;543;155.0
1;544;119.0
1;545;141.0
1;546;139.0
1;547;122.0
1;548;142.0
1;549;141.0
1;550;148.0
1;551;123.0
1;552;132.0
1;553;156.0
1;554;130.0
1;555;136.0
1;556;144.0
1;557;129.0
1;558;152.0
1;559;155.0
1;560;140.0
1;561;160.0
1;562;147.0
1;563;134.0
1;564;152.0
1;565;123.0
1;566;150.0
1;567;147.0
1;568;142.0
1;569;127.0
1;570;149.0
1;571;142.0
1;572;144.0
1;573;161.0
1;574;133.0
1;575;131.0
1;576;122.0
1;577;148.0
1;578;140.0
1;579;125.0
1;580;148.0
1;581;161.0
1;582;138.0
1;583;135.0
1;584;137.0
1;585;139.0
1;586;144.0
1;587;140.0
1;588;121.0
1;589;112.0
1;590;124.0
1;591;139.0
1;592;131.0
1;593;119.0
1;594;126.0
1;595;120.0
1;596;124.0
1;597;115.0
1;598;124.0
1;599;123.0
1;600;137.0
1;601;108.0
1;602;129.0
1;603;107.0
1;604;126.0
1;605;116.0
1;606;104.0
1;607;106.0
1;608;98.0
1;609;114.0
1;610;81.0
1;611;111.0
1;612;113.0
1;613;74.0
1;614;111.0
1;615;74.0
1;616;83.0
1;617;92.0
1;618;79.0
1;619;110.0
1;620;100.0
1;621;85.0
1;622;81.0
1;623;86.0
1;624;84.0
1;625;90.0
