Execution;micro second;quant
1;828;1.0
1;833;1.0
1;842;1.0
1;843;1.0
1;846;1.0
1;849;3.0
1;852;1.0
1;853;2.0
1;856;2.0
1;857;1.0
1;858;2.0
1;859;3.0
1;860;1.0
1;861;5.0
1;862;2.0
1;863;3.0
1;864;1.0
1;865;4.0
1;866;5.0
1;868;2.0
1;869;2.0
1;871;7.0
1;872;2.0
1;873;6.0
1;874;8.0
1;875;2.0
1;876;3.0
1;877;4.0
1;878;6.0
1;879;4.0
1;880;9.0
1;881;8.0
1;882;2.0
1;883;9.0
1;884;3.0
1;885;14.0
1;886;7.0
1;887;6.0
1;888;9.0
1;889;9.0
1;890;5.0
1;891;12.0
1;892;8.0
1;893;13.0
1;894;4.0
1;895;11.0
1;896;13.0
1;897;11.0
1;898;15.0
1;899;15.0
1;900;16.0
1;901;13.0
1;902;15.0
1;903;19.0
1;904;20.0
1;905;14.0
1;906;14.0
1;907;21.0
1;908;22.0
1;909;17.0
1;910;18.0
1;911;13.0
1;912;19.0
1;913;30.0
1;914;22.0
1;915;18.0
1;916;15.0
1;917;18.0
1;918;25.0
1;919;28.0
1;920;25.0
1;921;34.0
1;922;31.0
1;923;27.0
1;924;22.0
1;925;40.0
1;926;27.0
1;927;38.0
1;928;45.0
1;929;44.0
1;930;38.0
1;931;42.0
1;932;44.0
1;933;43.0
1;934;41.0
1;935;44.0
1;936;48.0
1;937;55.0
1;938;54.0
1;939;54.0
1;940;70.0
1;941;52.0
1;942;69.0
1;943;56.0
1;944;68.0
1;945;75.0
1;946;88.0
1;947;88.0
1;948;82.0
1;949;95.0
1;950;100.0
1;951;95.0
1;952;98.0
1;953;101.0
1;954;91.0
1;955;105.0
1;956;116.0
1;957;140.0
1;958;138.0
1;959;122.0
1;960;140.0
1;961;141.0
1;962;124.0
1;963;140.0
1;964;123.0
1;965;159.0
1;966;181.0
1;967;162.0
1;968;154.0
1;969;171.0
1;970;160.0
1;971;156.0
1;972;200.0
1;973;176.0
1;974;175.0
1;975;200.0
1;976;195.0
1;977;228.0
1;978;229.0
1;979;255.0
1;980;236.0
1;981;246.0
1;982;252.0
1;983;253.0
1;984;249.0
1;985;248.0
1;986;242.0
1;987;244.0
1;988;261.0
1;989;272.0
1;990;274.0
1;991;308.0
1;992;282.0
1;993;267.0
1;994;257.0
1;995;252.0
1;996;294.0
1;997;300.0
1;998;301.0
1;999;258.0
1;1000;291.0
1;1001;299.0
1;1002;320.0
1;1003;308.0
1;1004;327.0
1;1005;290.0
1;1006;308.0
1;1007;320.0
1;1008;331.0
1;1009;304.0
1;1010;338.0
1;1011;321.0
1;1012;331.0
1;1013;338.0
1;1014;327.0
1;1015;312.0
1;1016;318.0
1;1017;344.0
1;1018;322.0
1;1019;324.0
1;1020;306.0
1;1021;349.0
1;1022;300.0
1;1023;341.0
1;1024;315.0
1;1025;294.0
1;1026;338.0
1;1027;321.0
1;1028;352.0
1;1029;325.0
1;1030;314.0
1;1031;334.0
1;1032;339.0
1;1033;296.0
1;1034;299.0
1;1035;313.0
1;1036;285.0
1;1037;292.0
1;1038;268.0
1;1039;286.0
1;1040;260.0
1;1041;273.0
