Execution;micro second;quant
1;8079;1.0
1;8083;1.0
1;8111;1.0
1;8127;1.0
1;8159;1.0
1;8215;1.0
1;8303;1.0
1;8343;1.0
1;8351;1.0
1;8367;1.0
1;8431;1.0
1;8455;1.0
1;8471;2.0
1;8479;1.0
1;8487;1.0
1;8503;2.0
1;8511;2.0
1;8519;4.0
1;8527;1.0
1;8543;2.0
1;8551;2.0
1;8559;2.0
1;8583;1.0
1;8591;4.0
1;8607;1.0
1;8615;2.0
1;8623;3.0
1;8631;2.0
1;8639;3.0
1;8647;1.0
1;8655;4.0
1;8663;3.0
1;8671;4.0
1;8679;4.0
1;8687;3.0
1;8695;6.0
1;8703;7.0
1;8711;3.0
1;8719;4.0
1;8727;7.0
1;8735;7.0
1;8743;6.0
1;8751;11.0
1;8759;11.0
1;8767;2.0
1;8775;9.0
1;8783;12.0
1;8791;5.0
1;8799;4.0
1;8807;5.0
1;8815;8.0
1;8823;19.0
1;8831;8.0
1;8839;10.0
1;8847;16.0
1;8855;12.0
1;8863;14.0
1;8871;16.0
1;8879;10.0
1;8887;10.0
1;8895;13.0
1;8903;9.0
1;8911;10.0
1;8919;14.0
1;8927;20.0
1;8935;16.0
1;8943;11.0
1;8951;22.0
1;8959;10.0
1;8967;19.0
1;8975;21.0
1;8983;14.0
1;8991;18.0
1;8999;18.0
1;9007;20.0
1;9015;17.0
1;9023;20.0
1;9031;16.0
1;9039;10.0
1;9047;24.0
1;9055;22.0
1;9063;22.0
1;9071;29.0
1;9079;22.0
1;9087;28.0
1;9095;31.0
1;9103;17.0
1;9111;24.0
1;9119;35.0
1;9127;33.0
1;9135;28.0
1;9143;24.0
1;9151;34.0
1;9159;39.0
1;9167;39.0
1;9175;36.0
1;9183;24.0
1;9191;40.0
1;9199;44.0
1;9207;37.0
1;9215;22.0
1;9223;52.0
1;9231;38.0
1;9239;50.0
1;9247;47.0
1;9255;50.0
1;9263;38.0
1;9271;54.0
1;9279;47.0
1;9287;41.0
1;9295;53.0
1;9303;62.0
1;9311;49.0
1;9319;44.0
1;9327;60.0
1;9335;63.0
1;9343;57.0
1;9351;60.0
1;9359;60.0
1;9367;58.0
1;9375;72.0
1;9383;65.0
1;9391;56.0
1;9399;62.0
1;9407;90.0
1;9415;58.0
1;9423;77.0
1;9431;72.0
1;9439;62.0
1;9447;88.0
1;9455;64.0
1;9463;71.0
1;9471;93.0
1;9479;88.0
1;9487;95.0
1;9495;81.0
1;9503;83.0
1;9511;91.0
1;9519;116.0
1;9527;96.0
1;9535;99.0
1;9543;103.0
1;9551;70.0
1;9559;78.0
1;9567;88.0
1;9575;107.0
1;9583;130.0
1;9591;124.0
1;9599;104.0
1;9607;115.0
1;9615;97.0
1;9623;117.0
1;9631;116.0
1;9639;128.0
1;9647;94.0
1;9655;101.0
1;9663;123.0
1;9671;129.0
1;9679;152.0
1;9687;127.0
1;9695;121.0
1;9703;141.0
1;9711;138.0
1;9719;127.0
1;9727;162.0
1;9735;134.0
1;9743;166.0
1;9751;137.0
1;9759;142.0
1;9767;135.0
1;9775;143.0
1;9783;154.0
1;9791;159.0
1;9799;161.0
1;9807;163.0
1;9815;160.0
1;9823;168.0
1;9831;196.0
1;9839;176.0
1;9847;182.0
1;9855;166.0
1;9863;154.0
1;9871;184.0
1;9879;178.0
1;9887;142.0
1;9895;161.0
1;9903;174.0
1;9911;176.0
1;9919;197.0
1;9927;183.0
1;9935;178.0
1;9943;178.0
1;9951;191.0
1;9959;198.0
1;9967;194.0
1;9975;181.0
1;9983;179.0
1;9991;180.0
1;9999;193.0
1;10007;179.0
1;10015;228.0
1;10023;211.0
1;10031;209.0
1;10039;206.0
1;10047;193.0
1;10055;220.0
1;10063;214.0
1;10071;213.0
1;10079;189.0
1;10087;183.0
1;10095;216.0
1;10103;241.0
1;10111;215.0
1;10119;220.0
1;10127;211.0
1;10135;194.0
1;10143;224.0
1;10151;223.0
1;10159;206.0
1;10167;217.0
1;10175;215.0
1;10183;200.0
1;10191;244.0
1;10199;239.0
1;10207;208.0
1;10215;223.0
1;10223;215.0
1;10231;250.0
1;10239;248.0
1;10247;225.0
1;10255;230.0
1;10263;216.0
1;10271;228.0
1;10279;234.0
1;10287;254.0
1;10295;213.0
1;10303;234.0
1;10311;250.0
1;10319;243.0
1;10327;241.0
1;10335;250.0
1;10343;223.0
1;10351;237.0
1;10359;239.0
1;10367;256.0
1;10375;245.0
1;10383;242.0
1;10391;223.0
1;10399;247.0
1;10407;235.0
1;10415;266.0
1;10423;270.0
1;10431;256.0
1;10439;265.0
1;10447;260.0
1;10455;285.0
1;10463;265.0
1;10471;248.0
1;10479;241.0
1;10487;221.0
1;10495;295.0
1;10503;248.0
1;10511;250.0
1;10519;234.0
1;10527;241.0
1;10535;276.0
1;10543;254.0
1;10551;270.0
1;10559;250.0
1;10567;225.0
1;10575;246.0
1;10583;247.0
1;10591;246.0
1;10599;245.0
1;10607;293.0
1;10615;252.0
1;10623;262.0
1;10631;240.0
1;10639;263.0
1;10647;264.0
1;10655;235.0
1;10663;246.0
1;10671;280.0
1;10679;266.0
1;10687;262.0
1;10695;276.0
1;10703;252.0
1;10711;266.0
1;10719;269.0
1;10727;266.0
1;10735;258.0
1;10743;266.0
1;10751;273.0
1;10759;248.0
1;10767;269.0
1;10775;245.0
1;10783;255.0
1;10791;245.0
1;10799;256.0
1;10807;262.0
1;10815;242.0
1;10823;269.0
1;10831;287.0
1;10839;251.0
1;10847;283.0
1;10855;233.0
1;10863;269.0
1;10871;261.0
1;10879;286.0
1;10887;269.0
1;10895;276.0
1;10903;245.0
1;10911;262.0
1;10919;249.0
1;10927;283.0
1;10935;259.0
1;10943;255.0
1;10951;272.0
1;10959;265.0
1;10967;250.0
1;10975;256.0
1;10983;273.0
1;10991;241.0
1;10999;244.0
1;11007;261.0
1;11015;252.0
1;11023;251.0
1;11031;246.0
1;11039;246.0
1;11047;205.0
1;11055;243.0
1;11063;244.0
1;11071;250.0
1;11079;264.0
1;11087;272.0
1;11095;223.0
1;11103;226.0
1;11111;239.0
1;11119;227.0
1;11127;234.0
1;11135;230.0
1;11143;253.0
1;11151;225.0
1;11159;249.0
1;11167;213.0
1;11175;237.0
1;11183;230.0
1;11191;223.0
1;11199;251.0
1;11207;224.0
1;11215;241.0
1;11223;238.0
1;11231;228.0
1;11239;214.0
1;11247;209.0
1;11255;257.0
1;11263;220.0
1;11271;232.0
1;11279;227.0
1;11287;213.0
1;11295;232.0
1;11303;222.0
1;11311;234.0
1;11319;222.0
1;11327;216.0
1;11335;205.0
1;11343;185.0
1;11351;236.0
1;11359;244.0
1;11367;246.0
1;11375;203.0
1;11383;220.0
1;11391;202.0
1;11399;221.0
1;11407;214.0
1;11415;240.0
1;11423;197.0
1;11431;216.0
1;11439;230.0
1;11447;209.0
1;11455;211.0
1;11463;208.0
1;11471;204.0
1;11479;202.0
1;11487;201.0
1;11495;200.0
1;11503;213.0
1;11511;185.0
1;11519;202.0
1;11527;173.0
1;11535;180.0
1;11543;197.0
1;11551;224.0
1;11559;205.0
1;11567;201.0
1;11575;182.0
1;11583;185.0
1;11591;192.0
1;11599;158.0
1;11607;191.0
1;11615;178.0
1;11623;192.0
1;11631;191.0
1;11639;192.0
1;11647;190.0
1;11655;176.0
1;11663;180.0
1;11671;204.0
1;11679;199.0
1;11687;181.0
