Execution;micro second;quant
1;1974;1.0
1;1985;1.0
1;2014;1.0
1;2015;1.0
1;2019;1.0
1;2053;1.0
1;2061;1.0
1;2071;1.0
1;2075;1.0
1;2085;1.0
1;2095;1.0
1;2101;2.0
1;2107;1.0
1;2111;1.0
1;2115;1.0
1;2119;1.0
1;2121;1.0
1;2127;2.0
1;2131;1.0
1;2135;2.0
1;2137;1.0
1;2139;4.0
1;2145;2.0
1;2147;1.0
1;2149;1.0
1;2153;1.0
1;2159;2.0
1;2161;3.0
1;2163;3.0
1;2165;2.0
1;2169;4.0
1;2171;3.0
1;2173;1.0
1;2175;2.0
1;2177;3.0
1;2179;2.0
1;2181;2.0
1;2185;2.0
1;2189;1.0
1;2191;2.0
1;2193;2.0
1;2197;4.0
1;2199;1.0
1;2201;4.0
1;2203;3.0
1;2205;4.0
1;2207;3.0
1;2209;6.0
1;2211;3.0
1;2215;7.0
1;2217;6.0
1;2219;3.0
1;2221;1.0
1;2223;5.0
1;2225;3.0
1;2227;5.0
1;2229;4.0
1;2231;1.0
1;2233;7.0
1;2235;3.0
1;2237;5.0
1;2239;5.0
1;2241;4.0
1;2243;9.0
1;2245;2.0
1;2247;2.0
1;2249;7.0
1;2251;9.0
1;2253;10.0
1;2255;4.0
1;2257;10.0
1;2259;6.0
1;2261;5.0
1;2263;7.0
1;2265;7.0
1;2267;8.0
1;2269;6.0
1;2271;4.0
1;2273;7.0
1;2275;5.0
1;2277;13.0
1;2279;9.0
1;2281;4.0
1;2283;4.0
1;2285;8.0
1;2287;6.0
1;2289;6.0
1;2291;5.0
1;2293;5.0
1;2295;8.0
1;2297;8.0
1;2299;9.0
1;2301;7.0
1;2303;7.0
1;2305;6.0
1;2307;8.0
1;2309;10.0
1;2311;4.0
1;2313;10.0
1;2315;7.0
1;2317;14.0
1;2319;7.0
1;2321;8.0
1;2323;5.0
1;2325;9.0
1;2327;6.0
1;2329;12.0
1;2331;12.0
1;2333;7.0
1;2335;8.0
1;2337;16.0
1;2339;14.0
1;2341;8.0
1;2343;12.0
1;2345;9.0
1;2347;13.0
1;2349;10.0
1;2351;14.0
1;2353;22.0
1;2355;10.0
1;2357;16.0
1;2359;11.0
1;2361;15.0
1;2363;14.0
1;2365;12.0
1;2367;19.0
1;2369;9.0
1;2371;9.0
1;2373;18.0
1;2375;10.0
1;2377;9.0
1;2379;14.0
1;2381;8.0
1;2383;10.0
1;2385;9.0
1;2387;17.0
1;2389;20.0
1;2391;16.0
1;2393;25.0
1;2395;16.0
1;2397;16.0
1;2399;14.0
1;2401;16.0
1;2403;11.0
1;2405;18.0
1;2407;25.0
1;2409;27.0
1;2411;21.0
1;2413;16.0
1;2415;10.0
1;2417;14.0
1;2419;16.0
1;2421;15.0
1;2423;22.0
1;2425;11.0
1;2427;26.0
1;2429;15.0
1;2431;15.0
1;2433;22.0
1;2435;22.0
1;2437;20.0
1;2439;21.0
1;2441;26.0
1;2443;18.0
1;2445;19.0
1;2447;21.0
1;2449;27.0
1;2451;17.0
1;2453;19.0
1;2455;18.0
1;2457;17.0
1;2459;22.0
1;2461;15.0
1;2463;24.0
1;2465;18.0
1;2467;23.0
1;2469;35.0
1;2471;26.0
1;2473;25.0
1;2475;20.0
1;2477;22.0
1;2479;24.0
1;2481;27.0
1;2483;16.0
1;2485;21.0
1;2487;39.0
1;2489;21.0
1;2491;28.0
1;2493;32.0
1;2495;22.0
1;2497;14.0
1;2499;25.0
1;2501;18.0
1;2503;28.0
1;2505;28.0
1;2507;27.0
1;2509;30.0
1;2511;29.0
1;2513;17.0
1;2515;25.0
1;2517;30.0
1;2519;24.0
1;2521;25.0
1;2523;25.0
1;2525;26.0
1;2527;25.0
1;2529;32.0
1;2531;28.0
1;2533;30.0
1;2535;36.0
1;2537;28.0
1;2539;18.0
1;2541;29.0
1;2543;28.0
1;2545;46.0
1;2547;20.0
1;2549;28.0
1;2551;23.0
1;2553;22.0
1;2555;27.0
1;2557;27.0
1;2559;33.0
1;2561;32.0
1;2563;30.0
1;2565;34.0
1;2567;35.0
1;2569;29.0
1;2571;30.0
1;2573;33.0
1;2575;35.0
1;2577;32.0
1;2579;28.0
1;2581;38.0
1;2583;34.0
1;2585;22.0
1;2587;28.0
1;2589;37.0
1;2591;38.0
1;2593;38.0
