Execution;micro second;quant
1;11287;1.0
1;11383;2.0
1;11415;1.0
1;11455;1.0
1;11463;1.0
1;11479;1.0
1;11487;1.0
1;11527;1.0
1;11535;2.0
1;11551;1.0
1;11559;3.0
1;11583;1.0
1;11607;1.0
1;11615;4.0
1;11631;1.0
1;11639;3.0
1;11647;2.0
1;11655;2.0
1;11663;1.0
1;11671;1.0
1;11687;4.0
1;11703;1.0
1;11719;2.0
1;11727;2.0
1;11735;2.0
1;11743;1.0
1;11751;4.0
1;11759;2.0
1;11767;2.0
1;11775;1.0
1;11783;4.0
1;11799;1.0
1;11807;4.0
1;11815;1.0
1;11823;4.0
1;11839;2.0
1;11847;1.0
1;11855;1.0
1;11863;2.0
1;11871;3.0
1;11879;2.0
1;11887;3.0
1;11895;3.0
1;11903;3.0
1;11911;2.0
1;11919;4.0
1;11927;2.0
1;11935;1.0
1;11943;3.0
1;11951;5.0
1;11959;4.0
1;11967;2.0
1;11975;7.0
1;11983;3.0
1;11991;4.0
1;11999;5.0
1;12007;7.0
1;12015;2.0
1;12023;3.0
1;12031;4.0
1;12039;6.0
1;12047;6.0
1;12055;10.0
1;12063;5.0
1;12071;5.0
1;12079;3.0
1;12087;5.0
1;12095;7.0
1;12103;1.0
1;12111;2.0
1;12119;5.0
1;12127;3.0
1;12135;4.0
1;12143;8.0
1;12151;6.0
1;12159;4.0
1;12167;6.0
1;12175;4.0
1;12183;6.0
1;12191;4.0
1;12199;8.0
1;12207;5.0
1;12215;12.0
1;12223;4.0
1;12231;8.0
1;12239;5.0
1;12247;9.0
1;12255;4.0
1;12263;6.0
1;12271;7.0
1;12279;6.0
1;12287;3.0
1;12295;6.0
1;12303;3.0
1;12311;5.0
1;12319;9.0
1;12327;12.0
1;12335;6.0
1;12343;6.0
1;12351;13.0
1;12359;8.0
1;12367;7.0
1;12375;7.0
1;12383;8.0
1;12391;8.0
1;12399;9.0
1;12407;12.0
1;12415;8.0
1;12423;7.0
1;12431;15.0
1;12439;11.0
1;12447;6.0
1;12455;9.0
1;12463;6.0
1;12471;10.0
1;12479;8.0
1;12487;14.0
1;12495;15.0
1;12503;13.0
1;12511;8.0
1;12519;6.0
1;12527;13.0
1;12535;15.0
1;12543;13.0
1;12551;13.0
1;12559;11.0
1;12567;9.0
1;12575;11.0
1;12583;10.0
1;12591;12.0
1;12599;14.0
1;12607;7.0
1;12615;14.0
1;12623;17.0
1;12631;7.0
1;12639;13.0
1;12647;14.0
1;12655;18.0
1;12663;15.0
1;12671;17.0
1;12679;12.0
1;12687;19.0
1;12695;15.0
1;12703;18.0
1;12711;28.0
1;12719;17.0
1;12727;18.0
1;12735;17.0
1;12743;22.0
1;12751;16.0
1;12759;17.0
1;12767;21.0
1;12775;29.0
1;12783;17.0
1;12791;18.0
1;12799;16.0
1;12807;23.0
1;12815;24.0
1;12823;15.0
1;12831;21.0
1;12839;25.0
1;12847;28.0
1;12855;18.0
1;12863;33.0
1;12871;20.0
1;12879;21.0
1;12887;24.0
1;12895;21.0
1;12903;27.0
1;12911;35.0
1;12919;15.0
1;12927;23.0
1;12935;26.0
1;12943;26.0
