Execution;micro second;quant
1;59;29.0
1;60;81.0
1;61;6.0
1;62;15.0
1;63;368.0
1;64;379.0
1;65;65.0
1;66;65.0
1;67;184.0
1;68;92.0
1;69;43.0
1;70;45.0
1;71;93.0
1;72;103.0
1;73;100.0
1;74;112.0
1;75;133.0
1;76;92.0
1;77;85.0
1;78;254.0
1;79;313.0
1;80;210.0
1;81;172.0
1;82;232.0
1;83;193.0
1;84;164.0
1;85;219.0
1;86;271.0
1;87;408.0
1;88;766.0
1;89;1518.0
1;90;2785.0
1;91;4727.0
1;92;7801.0
1;93;9908.0
1;94;8751.0
1;95;5268.0
1;96;4586.0
1;97;3988.0
1;98;2884.0
1;99;1997.0
1;100;1542.0
1;101;1319.0
1;102;1140.0
1;103;1063.0
1;104;1193.0
1;105;1341.0
1;106;1361.0
1;107;1229.0
1;108;933.0
1;109;757.0
1;110;736.0
1;111;656.0
1;112;652.0
1;113;568.0
1;114;548.0
1;115;531.0
1;116;550.0
1;117;585.0
1;118;613.0
1;119;626.0
1;120;603.0
1;121;605.0
1;122;533.0
1;123;481.0
1;124;489.0
1;125;448.0
1;126;417.0
1;127;406.0
1;128;381.0
1;129;408.0
1;130;438.0
1;131;498.0
1;132;491.0
1;133;483.0
1;134;491.0
1;135;496.0
1;136;504.0
1;137;457.0
1;138;390.0
1;139;400.0
1;140;325.0
1;141;298.0
1;142;246.0
1;143;261.0
1;144;247.0
1;145;239.0
1;146;250.0
1;147;257.0
1;148;231.0
1;149;201.0
1;150;210.0
1;151;197.0
1;152;225.0
1;153;240.0
1;154;211.0
1;155;222.0
1;156;232.0
1;157;226.0
1;158;211.0
1;159;220.0
1;160;226.0
1;161;225.0
1;162;268.0
1;163;262.0
1;164;287.0
1;165;318.0
1;166;326.0
1;167;333.0
1;168;314.0
1;169;283.0
1;170;233.0
1;171;190.0
1;172;173.0
1;173;159.0
1;174;127.0
1;175;110.0
1;176;98.0
1;177;98.0
1;178;99.0
1;179;103.0
1;180;112.0
1;181;68.0
1;182;100.0
1;183;88.0
1;184;88.0
1;185;93.0
1;186;86.0
1;187;73.0
1;188;78.0
1;189;68.0
1;190;60.0
1;191;61.0
1;192;71.0
1;193;66.0
1;194;74.0
1;195;57.0
1;196;48.0
1;197;58.0
1;198;68.0
1;199;47.0
1;200;55.0
1;201;59.0
1;202;45.0
1;203;60.0
1;204;49.0
1;205;48.0
1;206;45.0
1;207;31.0
1;208;44.0
1;209;39.0
1;210;42.0
1;211;41.0
1;212;32.0
1;213;34.0
1;214;39.0
1;215;42.0
1;216;35.0
1;217;49.0
1;218;38.0
1;219;22.0
1;220;32.0
1;221;30.0
1;222;40.0
1;223;30.0
1;224;27.0
1;225;25.0
1;226;36.0
1;227;37.0
1;228;30.0
1;229;26.0
1;230;29.0
1;231;25.0
1;232;25.0
1;233;23.0
1;234;24.0
1;235;18.0
1;236;22.0
1;237;16.0
1;238;25.0
1;239;25.0
1;240;31.0
1;241;15.0
1;242;17.0
1;243;20.0
1;244;22.0
1;245;15.0
1;246;18.0
1;247;19.0
1;248;17.0
1;249;23.0
1;250;5.0
1;251;18.0
1;252;19.0
1;253;20.0
1;254;13.0
1;255;12.0
1;256;7.0
1;257;12.0
1;258;12.0
1;259;15.0
1;260;16.0
1;261;13.0
1;262;13.0
1;263;13.0
1;264;10.0
1;265;15.0
1;266;12.0
1;267;17.0
1;268;11.0
1;269;6.0
1;270;9.0
1;271;7.0
1;272;10.0
1;273;15.0
1;274;10.0
1;275;8.0
1;276;9.0
1;277;10.0
1;278;6.0
1;279;10.0
1;280;13.0
