Execution;micro second;quant
1;43;1.0
1;44;1.0
1;45;20.0
1;46;68.0
1;47;135.0
1;48;183.0
1;49;258.0
1;50;306.0
1;51;362.0
1;52;331.0
1;53;242.0
1;54;224.0
1;55;201.0
1;56;129.0
1;57;102.0
1;58;67.0
1;59;55.0
1;60;34.0
1;61;27.0
1;62;16.0
1;63;20.0
1;64;21.0
1;65;12.0
1;66;12.0
1;67;16.0
1;68;13.0
1;69;22.0
1;70;18.0
1;71;24.0
1;72;26.0
1;73;64.0
1;74;171.0
1;75;491.0
1;76;1071.0
1;77;2061.0
1;78;3336.0
1;79;4090.0
1;80;4292.0
1;81;3766.0
1;82;2917.0
1;83;2049.0
1;84;1402.0
1;85;1047.0
1;86;736.0
1;87;601.0
1;88;494.0
1;89;496.0
1;90;563.0
1;91;590.0
1;92;613.0
1;93;584.0
1;94;583.0
1;95;580.0
1;96;516.0
1;97;466.0
1;98;423.0
1;99;398.0
1;100;389.0
1;101;369.0
1;102;384.0
1;103;359.0
1;104;349.0
1;105;355.0
1;106;318.0
1;107;312.0
1;108;310.0
1;109;296.0
1;110;238.0
1;111;277.0
1;112;290.0
1;113;262.0
1;114;239.0
1;115;225.0
1;116;217.0
1;117;203.0
1;118;202.0
1;119;218.0
1;120;193.0
1;121;182.0
1;122;193.0
1;123;173.0
1;124;192.0
1;125;164.0
1;126;151.0
1;127;134.0
1;128;140.0
1;129;105.0
1;130;103.0
1;131;114.0
1;132;98.0
1;133;86.0
1;134;98.0
1;135;83.0
1;136;111.0
1;137;96.0
1;138;96.0
1;139;113.0
1;140;102.0
1;141;79.0
1;142;95.0
1;143;92.0
1;144;85.0
1;145;94.0
1;146;102.0
1;147;89.0
1;148;95.0
1;149;84.0
1;150;112.0
1;151;102.0
1;152;109.0
1;153;106.0
1;154;102.0
1;155;88.0
1;156;87.0
1;157;58.0
1;158;63.0
1;159;71.0
1;160;46.0
1;161;59.0
1;162;52.0
1;163;38.0
1;164;52.0
1;165;53.0
1;166;37.0
1;167;35.0
1;168;45.0
1;169;40.0
1;170;35.0
1;171;28.0
1;172;41.0
1;173;36.0
1;174;25.0
1;175;29.0
1;176;26.0
1;177;30.0
1;178;37.0
1;179;22.0
1;180;20.0
