Execution;micro second;quant
1;70;1.0
1;71;6.0
1;72;36.0
1;73;70.0
1;74;149.0
1;75;189.0
1;76;245.0
1;77;261.0
1;78;223.0
1;79;174.0
1;80;147.0
1;81;128.0
1;82;67.0
1;83;41.0
1;84;37.0
1;85;35.0
1;86;53.0
1;87;68.0
1;88;97.0
1;89;115.0
1;90;120.0
1;91;85.0
1;92;89.0
1;93;47.0
1;94;68.0
1;95;52.0
1;96;44.0
1;97;32.0
1;98;70.0
1;99;176.0
1;100;467.0
1;101;1073.0
1;102;1988.0
1;103;3780.0
1;104;4845.0
1;105;4202.0
1;106;2987.0
1;107;1997.0
1;108;1365.0
1;109;894.0
1;110;581.0
1;111;444.0
1;112;336.0
1;113;309.0
1;114;260.0
1;115;310.0
1;116;329.0
1;117;441.0
1;118;500.0
1;119;478.0
1;120;463.0
1;121;446.0
1;122;425.0
1;123;401.0
1;124;425.0
1;125;382.0
1;126;405.0
1;127;422.0
1;128;447.0
1;129;395.0
1;130;390.0
1;131;387.0
1;132;334.0
1;133;348.0
1;134;298.0
1;135;303.0
1;136;300.0
1;137;336.0
1;138;328.0
1;139;328.0
1;140;350.0
1;141;347.0
1;142;365.0
1;143;362.0
1;144;301.0
1;145;326.0
1;146;309.0
1;147;296.0
1;148;281.0
1;149;308.0
1;150;265.0
1;151;265.0
1;152;224.0
1;153;219.0
1;154;200.0
1;155;193.0
1;156;185.0
1;157;170.0
1;158;168.0
1;159;155.0
1;160;152.0
1;161;147.0
1;162;147.0
1;163;157.0
1;164;129.0
1;165;161.0
1;166;128.0
1;167;138.0
1;168;163.0
1;169;129.0
1;170;126.0
1;171;118.0
1;172;118.0
1;173;132.0
1;174;134.0
1;175;151.0
1;176;148.0
1;177;128.0
1;178;164.0
1;179;150.0
1;180;162.0
1;181;147.0
1;182;131.0
1;183;112.0
1;184;84.0
1;185;87.0
1;186;85.0
1;187;67.0
1;188;63.0
1;189;81.0
1;190;65.0
1;191;47.0
1;192;74.0
1;193;72.0
1;194;51.0
1;195;57.0
1;196;58.0
1;197;44.0
1;198;54.0
1;199;45.0
1;200;44.0
1;201;58.0
