Execution;micro second;quant
1;691;1.0
1;723;1.0
1;733;1.0
1;734;1.0
1;738;1.0
1;746;2.0
1;753;1.0
1;765;2.0
1;766;1.0
1;773;1.0
1;777;1.0
1;780;1.0
1;813;1.0
1;840;1.0
1;843;1.0
1;868;1.0
1;892;1.0
1;901;1.0
1;1030;1.0
1;1062;1.0
1;1072;1.0
1;1074;2.0
1;1084;1.0
1;1085;1.0
1;1087;1.0
1;1090;1.0
1;1093;1.0
1;1094;1.0
1;1096;2.0
1;1097;1.0
1;1102;1.0
1;1103;3.0
1;1104;2.0
1;1105;2.0
1;1106;3.0
1;1109;3.0
1;1110;3.0
1;1111;4.0
1;1112;2.0
1;1113;2.0
1;1114;2.0
1;1115;2.0
1;1116;2.0
1;1117;7.0
1;1118;4.0
1;1119;4.0
1;1120;6.0
1;1121;2.0
1;1122;3.0
1;1123;5.0
1;1124;7.0
1;1125;6.0
1;1126;4.0
1;1127;10.0
1;1128;3.0
1;1129;5.0
1;1130;6.0
1;1131;7.0
1;1132;8.0
1;1133;9.0
1;1134;6.0
1;1135;13.0
1;1136;7.0
1;1137;3.0
1;1138;11.0
1;1139;9.0
1;1140;7.0
1;1141;10.0
1;1142;7.0
1;1143;6.0
1;1144;6.0
1;1145;9.0
1;1146;10.0
1;1147;15.0
1;1148;11.0
1;1149;13.0
1;1150;13.0
1;1151;13.0
1;1152;13.0
1;1153;15.0
1;1154;16.0
1;1155;13.0
1;1156;12.0
1;1157;16.0
1;1158;20.0
1;1159;15.0
1;1160;12.0
1;1161;21.0
1;1162;23.0
1;1163;16.0
1;1164;17.0
1;1165;19.0
1;1166;22.0
1;1167;23.0
1;1168;18.0
1;1169;26.0
1;1170;26.0
1;1171;19.0
1;1172;30.0
1;1173;34.0
1;1174;28.0
1;1175;26.0
1;1176;26.0
1;1177;20.0
1;1178;39.0
1;1179;34.0
1;1180;26.0
1;1181;35.0
1;1182;27.0
1;1183;29.0
1;1184;37.0
1;1185;27.0
1;1186;28.0
1;1187;32.0
1;1188;29.0
1;1189;38.0
1;1190;37.0
1;1191;47.0
1;1192;32.0
1;1193;36.0
1;1194;32.0
1;1195;48.0
1;1196;56.0
1;1197;40.0
1;1198;45.0
1;1199;40.0
1;1200;38.0
1;1201;46.0
1;1202;44.0
1;1203;57.0
1;1204;38.0
1;1205;44.0
1;1206;42.0
1;1207;50.0
1;1208;58.0
1;1209;54.0
1;1210;46.0
1;1211;54.0
1;1212;59.0
1;1213;57.0
1;1214;57.0
1;1215;63.0
1;1216;61.0
1;1217;58.0
1;1218;52.0
1;1219;55.0
1;1220;63.0
1;1221;64.0
1;1222;59.0
1;1223;79.0
1;1224;61.0
1;1225;62.0
1;1226;65.0
