Execution;micro second;quant
1;67;7.0
1;68;70.0
1;69;134.0
1;70;220.0
1;71;372.0
1;72;367.0
1;73;393.0
1;74;363.0
1;75;321.0
1;76;339.0
1;77;373.0
1;78;447.0
1;79;443.0
1;80;362.0
1;81;296.0
1;82;257.0
1;83;239.0
1;84;211.0
1;85;197.0
1;86;161.0
1;87;166.0
1;88;165.0
1;89;172.0
1;90;164.0
1;91;170.0
1;92;188.0
1;93;193.0
1;94;228.0
1;95;242.0
1;96;267.0
1;97;356.0
1;98;381.0
1;99;397.0
1;100;436.0
1;101;412.0
1;102;377.0
1;103;400.0
1;104;399.0
1;105;357.0
1;106;329.0
1;107;307.0
1;108;289.0
1;109;266.0
1;110;255.0
1;111;277.0
1;112;250.0
1;113;235.0
1;114;235.0
1;115;234.0
1;116;238.0
1;117;249.0
1;118;257.0
1;119;233.0
1;120;223.0
1;121;237.0
1;122;222.0
1;123;244.0
1;124;236.0
1;125;263.0
1;126;301.0
1;127;272.0
1;128;282.0
1;129;269.0
1;130;292.0
1;131;267.0
1;132;279.0
1;133;273.0
1;134;292.0
1;135;269.0
1;136;247.0
1;137;270.0
1;138;221.0
1;139;236.0
1;140;227.0
1;141;230.0
1;142;228.0
1;143;235.0
1;144;235.0
1;145;235.0
1;146;270.0
1;147;278.0
1;148;214.0
1;149;232.0
1;150;226.0
1;151;286.0
1;152;266.0
1;153;297.0
1;154;272.0
1;155;298.0
1;156;301.0
1;157;302.0
1;158;291.0
1;159;309.0
1;160;298.0
1;161;268.0
1;162;257.0
1;163;252.0
1;164;278.0
1;165;273.0
1;166;295.0
1;167;282.0
1;168;309.0
1;169;284.0
1;170;271.0
1;171;299.0
1;172;288.0
1;173;259.0
1;174;251.0
1;175;264.0
1;176;274.0
1;177;278.0
1;178;245.0
1;179;289.0
1;180;261.0
1;181;269.0
1;182;279.0
1;183;242.0
1;184;263.0
1;185;263.0
1;186;257.0
1;187;266.0
1;188;253.0
1;189;263.0
1;190;276.0
1;191;246.0
1;192;249.0
1;193;235.0
1;194;206.0
1;195;255.0
1;196;230.0
1;197;203.0
1;198;202.0
1;199;211.0
1;200;211.0
1;201;200.0
1;202;188.0
1;203;224.0
1;204;230.0
1;205;201.0
1;206;199.0
1;207;169.0
1;208;172.0
1;209;183.0
1;210;175.0
1;211;183.0
1;212;201.0
1;213;165.0
1;214;184.0
1;215;159.0
1;216;184.0
1;217;158.0
1;218;170.0
1;219;144.0
1;220;144.0
1;221;145.0
1;222;147.0
1;223;139.0
1;224;146.0
1;225;136.0
1;226;122.0
1;227;123.0
1;228;133.0
1;229;107.0
1;230;127.0
1;231;111.0
1;232;132.0
1;233;107.0
1;234;93.0
1;235;104.0
1;236;105.0
1;237;95.0
1;238;86.0
1;239;95.0
1;240;102.0
1;241;92.0
1;242;97.0
1;243;84.0
1;244;70.0
1;245;96.0
1;246;91.0
1;247;68.0
1;248;78.0
1;249;79.0
1;250;71.0
1;251;74.0
1;252;85.0
1;253;67.0
1;254;76.0
1;255;59.0
1;256;55.0
1;257;53.0
1;258;56.0
1;259;59.0
1;260;55.0
1;261;52.0
1;262;43.0
1;263;50.0
1;264;47.0
1;265;54.0
1;266;48.0
1;267;65.0
1;268;52.0
1;269;58.0
1;270;56.0
1;271;42.0
1;272;49.0
1;273;35.0
1;274;34.0
1;275;42.0
1;276;42.0
1;277;36.0
1;278;40.0
1;279;42.0
1;280;44.0
1;281;48.0
1;282;43.0
1;283;42.0
1;284;45.0
1;285;36.0
1;286;33.0
1;287;27.0
1;288;24.0
1;289;31.0
1;290;37.0
1;291;33.0
1;292;32.0
1;293;39.0
1;294;41.0
1;295;34.0
1;296;36.0
1;297;26.0
1;298;31.0
1;299;35.0
1;300;32.0
1;301;27.0
1;302;30.0
1;303;22.0
1;304;30.0
1;305;31.0
1;306;23.0
1;307;29.0
1;308;35.0
1;309;34.0
1;310;28.0
1;311;33.0
1;312;28.0
1;313;28.0
1;314;30.0
1;315;18.0
1;316;18.0
1;317;29.0
1;318;31.0
1;319;31.0
1;320;26.0
1;321;23.0
1;322;26.0
1;323;24.0
1;324;19.0
1;325;20.0
1;326;32.0
1;327;20.0
1;328;39.0
1;329;21.0
1;330;14.0
1;331;19.0
1;332;24.0
1;333;16.0
1;334;31.0
1;335;20.0
1;336;21.0
1;337;15.0
1;338;20.0
1;339;19.0
1;340;16.0
1;341;26.0
1;342;16.0
1;343;18.0
1;344;14.0
1;345;20.0
1;346;13.0
1;347;26.0
1;348;21.0
1;349;23.0
1;350;19.0
1;351;15.0
1;352;16.0
1;353;16.0
1;354;22.0
1;355;22.0
1;356;15.0
1;357;15.0
1;358;21.0
1;359;15.0
1;360;14.0
1;361;20.0
1;362;24.0
1;363;18.0
1;364;14.0
1;365;16.0
1;366;18.0
1;367;16.0
1;368;21.0
1;369;20.0
1;370;14.0
1;371;13.0
1;372;20.0
1;373;19.0
1;374;23.0
1;375;14.0
1;376;9.0
1;377;15.0
1;378;11.0
1;379;15.0
1;380;17.0
1;381;17.0
1;382;16.0
1;383;19.0
1;384;15.0
1;385;18.0
1;386;15.0
1;387;16.0
1;388;20.0
1;389;20.0
1;390;16.0
1;391;18.0
1;392;14.0
1;393;15.0
1;394;15.0
1;395;33.0
1;396;16.0
1;397;23.0
1;398;21.0
1;399;23.0
1;400;15.0
1;401;16.0
1;402;22.0
1;403;17.0
1;404;17.0
1;405;19.0
1;406;17.0
1;407;23.0
1;408;20.0
1;409;13.0
1;410;9.0
1;411;14.0
1;412;16.0
1;413;13.0
1;414;16.0
1;415;19.0
1;416;16.0
1;417;11.0
1;418;16.0
1;419;10.0
1;420;16.0
