Execution;micro second;quant
1;764;1.0
1;788;1.0
1;795;1.0
1;799;1.0
1;863;1.0
1;1103;1.0
1;1135;1.0
1;1137;1.0
1;1140;1.0
1;1141;2.0
1;1144;1.0
1;1147;1.0
1;1149;3.0
1;1150;1.0
1;1152;1.0
1;1154;2.0
1;1156;1.0
1;1157;1.0
1;1161;1.0
1;1162;1.0
1;1163;1.0
1;1165;5.0
1;1166;1.0
1;1167;1.0
1;1168;1.0
1;1169;1.0
1;1170;1.0
1;1171;2.0
1;1174;3.0
1;1175;1.0
1;1176;1.0
1;1177;2.0
1;1178;4.0
1;1179;2.0
1;1180;2.0
1;1181;2.0
1;1182;6.0
1;1183;1.0
1;1184;1.0
1;1185;3.0
1;1186;4.0
1;1188;2.0
1;1189;2.0
1;1190;3.0
1;1191;6.0
1;1192;3.0
1;1193;5.0
1;1194;5.0
1;1195;3.0
1;1196;4.0
1;1197;3.0
1;1199;4.0
1;1200;6.0
1;1201;3.0
1;1202;8.0
1;1203;2.0
1;1204;5.0
1;1205;8.0
1;1206;6.0
1;1207;3.0
1;1208;6.0
1;1209;5.0
1;1210;6.0
1;1211;7.0
1;1212;9.0
1;1213;9.0
1;1214;4.0
1;1215;5.0
1;1216;6.0
1;1217;10.0
1;1218;11.0
1;1219;4.0
1;1220;7.0
1;1221;11.0
1;1222;12.0
1;1223;5.0
1;1224;4.0
1;1225;8.0
1;1226;7.0
1;1227;12.0
1;1228;10.0
1;1229;5.0
1;1230;9.0
1;1231;10.0
1;1232;18.0
1;1233;14.0
1;1234;9.0
1;1235;7.0
1;1236;2.0
1;1237;12.0
1;1238;9.0
1;1239;13.0
1;1240;13.0
1;1241;12.0
1;1242;6.0
1;1243;18.0
1;1244;14.0
1;1245;8.0
1;1246;9.0
1;1247;14.0
1;1248;15.0
1;1249;13.0
1;1250;14.0
1;1251;12.0
1;1252;10.0
1;1253;14.0
1;1254;17.0
1;1255;14.0
1;1256;12.0
1;1257;22.0
1;1258;15.0
1;1259;13.0
1;1260;16.0
1;1261;13.0
1;1262;21.0
1;1263;19.0
1;1264;22.0
1;1265;22.0
1;1266;18.0
1;1267;19.0
1;1268;19.0
1;1269;16.0
1;1270;18.0
1;1271;23.0
1;1272;26.0
1;1273;16.0
1;1274;17.0
1;1275;13.0
1;1276;25.0
1;1277;20.0
1;1278;21.0
1;1279;14.0
1;1280;28.0
1;1281;28.0
1;1282;25.0
1;1283;25.0
1;1284;17.0
1;1285;24.0
1;1286;26.0
1;1287;28.0
1;1288;35.0
1;1289;29.0
1;1290;29.0
1;1291;22.0
1;1292;27.0
1;1293;22.0
1;1294;32.0
1;1295;32.0
1;1296;27.0
1;1297;25.0
1;1298;31.0
1;1299;31.0
1;1300;31.0
1;1301;23.0
1;1302;22.0
1;1303;34.0
1;1304;39.0
1;1305;25.0
1;1306;34.0
1;1307;31.0
